global_step,treatment_mean,treatment_sem,signflip_mean,signflip_sem,paired_mean,paired_sem,jlens_seed236,jlens_seed237,jlens_seed238,jlens_seed239,signflip_seed236,signflip_seed237,signflip_seed238,signflip_seed239,paired_seed236,paired_seed237,paired_seed238,paired_seed239
0,0.3825,0.0,0.3825,0.0,0.0,0.0,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.0,0.0,0.0,0.0
1,0.381875,0.007525996611745191,0.38875000000000004,0.0048412291827592754,-0.006875000000000006,0.006875000000000006,0.3825,0.375,0.4025,0.3675,0.3775,0.385,0.4,0.3925,0.0050000000000000044,-0.010000000000000009,0.0025000000000000022,-0.025000000000000022
2,0.395,0.0010206207261596585,0.38875000000000004,0.004621056877670594,0.0062500000000000056,0.004269562819149837,0.395,0.3975,0.395,0.3925,0.4,0.3925,0.38,0.3825,-0.0050000000000000044,0.0050000000000000044,0.015000000000000013,0.010000000000000009
3,0.3875,0.005103103630798292,0.384375,0.0048277625942735325,0.0031250000000000028,0.007663155899062307,0.3825,0.38,0.4025,0.385,0.375,0.385,0.38,0.3975,0.007500000000000007,-0.0050000000000000044,0.02250000000000002,-0.012500000000000011
4,0.3875,0.00444878260501305,0.39125,0.005636562191028623,-0.0037500000000000033,0.003307189138830741,0.3875,0.395,0.3925,0.375,0.4,0.3925,0.3975,0.375,-0.012500000000000011,0.0025000000000000022,-0.0050000000000000044,0.0
5,0.4025,0.00835414068990142,0.38625,0.005994789404140905,0.01625,0.01393810723639811,0.3975,0.4025,0.425,0.385,0.3975,0.385,0.37,0.3925,0.0,0.017500000000000016,0.05499999999999999,-0.007500000000000007
6,0.39375000000000004,0.0029755951785595237,0.38875000000000004,0.006332785063987782,0.0050000000000000044,0.006123724356957951,0.395,0.3975,0.385,0.3975,0.405,0.3925,0.38,0.3775,-0.010000000000000009,0.0050000000000000044,0.0050000000000000044,0.020000000000000018
